domain,lead_class,commercial_priority,lead_type_category,primary_opportunity,secondary_opportunities,confidence,evidence_validity,estimated_monthly_loss_usd,loss_basis,affected_product,affected_variant,exact_problem,service_angle,outreach_safe,manual_review_required,coverage,pdps_inspected,scan_duration_seconds,session_id,artifact_path,audit_pdf_path,teaser_path,screenshot_evidence_path,generated_at,company_name,company_name_source,contact_email,contact_email_source,contact_page,contact_page_source,contact_phone,contact_phone_source,country_name,country_code,country_source,country_confidence,instagram_url,facebook_url,linkedin_url,tiktok_url,youtube_url,x_url,enrichment_attempted,enrichment_status,enrichment_timestamp,enrichment_errors
kith.com,B — USABLE WITH CAUTION,LOW,STRONG_CRO_OPPORTUNITY,MISSING_SOCIAL_PROOF,MISSING_UPSELL,0.69,PARTIALLY_VERIFIED,0.0,NO_CONFIRMED_OOS_LEAK,BORNTOSTANDOUT Fig Porn Eau De Parfum 50ML – Kith,,Buy Box fold lacks immediate customer review rating badges,Social Proof & Review Automation Setup,True,True,FULL,3,47.49,f8640ca4-4846-4a8f-869a-3045da1607ab,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\sessions\kith.com\f8640ca4-4846-4a8f-869a-3045da1607ab\session_f8640ca4-4846-4a8f-869a-3045da1607ab.json,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\reports\kith.com\f8640ca4-4846-4a8f-869a-3045da1607ab\audit.pdf,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\reports\kith.com\f8640ca4-4846-4a8f-869a-3045da1607ab\teaser.png,,2026-08-12T00:59:44.480235+00:00,Kith,DOMAIN_NAME,,NOT_FOUND,https://kithnyc.gorgias.help/en-US,FOOTER_LINK,,NOT_FOUND,,,UNKNOWN,NONE,https://www.instagram.com/kith,https://www.facebook.com/Kithnyc,,https://www.tiktok.com/@kith,https://www.youtube.com/@KithMedia,https://x.com/kith,True,SUCCESS,2026-08-12T01:01:12.759661+00:00,
alohas.io,B — USABLE WITH CAUTION,LOW,STRONG_CRO_OPPORTUNITY,MISSING_SOCIAL_PROOF,MISSING_UPSELL,0.69,VERIFIED,0.0,NO_CONFIRMED_OOS_LEAK,Aven Vegan Brown Leather Loafers,,Buy Box fold lacks immediate customer review rating badges,Social Proof & Review Automation Setup,True,True,FULL,3,44.1,2a4b6c67-f40c-4e24-92d3-1238fb6900a2,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\sessions\alohas.io\2a4b6c67-f40c-4e24-92d3-1238fb6900a2\session_2a4b6c67-f40c-4e24-92d3-1238fb6900a2.json,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\reports\alohas.io\2a4b6c67-f40c-4e24-92d3-1238fb6900a2\audit.pdf,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\reports\alohas.io\2a4b6c67-f40c-4e24-92d3-1238fb6900a2\teaser.png,alohas.io/2a4b6c67-f40c-4e24-92d3-1238fb6900a2/session_2a4b6c67-f40c-4e24-92d3-1238fb6900a2_82de8d5f-4ff5-4bdc-843a-b91261e5c9b5.png,2026-08-12T01:00:28.798456+00:00,Alohas,DOMAIN_NAME,,NOT_FOUND,https://alohas.io/pages/contact,INFERRED_DOMAIN_PATH,,NOT_FOUND,,,UNKNOWN,NONE,https://www.instagram.com/alohas,,https://www.linkedin.com/company/alohasofficial,https://www.tiktok.com/@alohas.com,https://www.youtube.com/@alohas_com,,True,SUCCESS,2026-08-12T01:01:12.759661+00:00,
triangl.com,B — USABLE WITH CAUTION,LOW,STRONG_CRO_OPPORTUNITY,MISSING_SOCIAL_PROOF,MISSING_UPSELL,0.69,PARTIALLY_VERIFIED,0.0,NO_CONFIRMED_OOS_LEAK,ESTE LIME Neoprene Scoop Bikini Set – Triangl,,Buy Box fold lacks immediate customer review rating badges,Social Proof & Review Automation Setup,True,True,FULL,3,43.55,ffcd2b68-be24-48d8-8964-ef5c9fc829d1,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\sessions\triangl.com\ffcd2b68-be24-48d8-8964-ef5c9fc829d1\session_ffcd2b68-be24-48d8-8964-ef5c9fc829d1.json,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\reports\triangl.com\ffcd2b68-be24-48d8-8964-ef5c9fc829d1\audit.pdf,C:\Users\Admin\Documents\Default Project\RevenueLeakScanner_V2\storage\reports\triangl.com\ffcd2b68-be24-48d8-8964-ef5c9fc829d1\teaser.png,,2026-08-12T01:01:12.226772+00:00,Triangl,DOMAIN_NAME,,NOT_FOUND,https://triangl.com/pages/faqs?tab=contact,FOOTER_LINK,,NOT_FOUND,,,UNKNOWN,NONE,http://instagram.com/triangl,https://www.facebook.com/TrianglSwimwearIntl,,https://www.tiktok.com/@triangl,,,True,SUCCESS,2026-08-12T01:01:12.759661+00:00,
